route_id,route_short_name,route_long_name,trip_id,stop_sequence,stop_id,stop_name,arrival_time,departure_time
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,8,900202,19th Street Oakland,06:04:00,06:05:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,9,900102,12th Street / Oakland City Center,06:06:00,06:07:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,10,901101,West Oakland,06:11:00,06:12:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,11,901161,Embarcadero,06:18:00,06:19:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,12,901201,Montgomery Street,06:20:00,06:20:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,13,901301,Powell Street,06:22:00,06:22:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,14,901401,Civic Center / UN Plaza,06:23:00,06:24:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,15,901501,16th Street / Mission,06:26:00,06:26:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,16,901601,24th Street / Mission,06:28:00,06:28:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,17,901701,Glen Park,06:30:00,06:31:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,18,901801,Balboa Park,06:33:00,06:33:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,19,901903,Daly City,06:37:00,06:38:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,20,906101,Colma,06:41:00,06:42:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,21,906201,South San Francisco,06:44:00,06:45:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,22,906301,San Bruno,06:48:00,06:48:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674223,23,907101,San Francisco International Airport,06:52:00,06:53:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,0,903602,Concord,05:54:00,05:55:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,2,903502,Pleasant Hill / Contra Costa Centre,05:59:00,06:00:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,3,903402,Walnut Creek,06:02:00,06:03:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,4,903302,Lafayette,06:07:00,06:07:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,5,903202,Orinda,06:12:00,06:12:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,6,903102,Rockridge,06:18:00,06:18:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,7,900304,MacArthur,06:21:00,06:21:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,8,900202,19th Street Oakland,06:24:00,06:25:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,9,900102,12th Street / Oakland City Center,06:26:00,06:27:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,10,901101,West Oakland,06:31:00,06:32:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,11,901161,Embarcadero,06:38:00,06:39:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,12,901201,Montgomery Street,06:40:00,06:40:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,13,901301,Powell Street,06:42:00,06:42:00
